"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","적재일시"
"특수학교","공립","7010521","서울정인학교","Seoul Jeong-in Special School","서울특별시교육청","01095","서울특별시 강북구 인수봉로 119-20","(수유동/ 정인학교)","02-983-4321","http://www.jeongin.sc.kr","02-983-4006","남여공학","","N","해당없음","","전기","주간","20000115","20000503","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7010520","서울정애학교","Seoul Jeongae School","서울특별시교육청","06086","서울특별시 강남구 봉은사로81길 16","/ 서울정애학교 (삼성동)","02-540-7826","http://www.jungae.sc.kr","02-542-0334","남여공학","","N","해당없음","","전기","주간","20000301","20000506","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7010519","서울광진학교","Seoul Gwangjin School","서울특별시교육청","05048","서울특별시 광진구 강변역로 18","/ 서울광진학교 (구의동/ 서울광진학교)","02-6715-9001","http://kjin.sc.kr/","02-6715-9003","남여공학","","N","해당없음","","전기","주간","19990115","19990115","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010474","한국육영학교","Hanguk Yukyoung School","서울특별시교육청","05792","서울특별시 송파구 충민로6길 15","(장지동/한국육영학교)","02-443-9781","http://yukyoung.sen.sc.kr","02-443-9784","남여공학","","N","해당없음","","전기","주간","19920923","19930521","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010473","한국구화학교","Hanguk Guhwa School","서울특별시교육청","05225","서울특별시 강동구 고덕로 295-59","/ 한국구화학교 (고덕동)","02-428-0873","http://kuhwa.sen.sc.kr","02-428-0872","남여공학","","N","해당없음","","전기","주간","19620720","19620720","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010472","주몽학교","Jumong School","서울특별시교육청","05280","서울특별시 강동구 상암로 369","/ 주몽학교 (상일동)","070-8255-0505","http://www.jumong.sc.kr","02-3427-3726","남여공학","","N","해당없음","","전기","주간","19850320","19850320","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010469","성베드로학교","St.Peter’s School","서울특별시교육청","08359","서울특별시 구로구 연동로 320","/ 성베드로학교 (항동)","02-2612-6413","http://stpeters.sen.sc.kr","02-2683-3092","남여공학","","N","해당없음","","전기","주간","19740523","19740523","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010465","서울애화학교","Seoul Aewha School","서울특별시교육청","01157","서울특별시 강북구 솔매로52길 31","/ 서울애화학교 (미아동)","02-987-5161","http://www.aewha.sc.kr","02-985-5579","남여공학","","N","해당없음","","전기","주간","19751201","19760526","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010464","서울삼성학교","Seoul Samsung School for the Deaf","서울특별시교육청","07035","서울특별시 동작구 양녕로30길 19-4","(상도동/ 서울삼성학교)","02-823-7430","www.samsung.sc.kr","02-823-3815","남여공학","","N","해당없음","","전기","주간","19830303","19830418","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010460","밀알학교","Miral School","서울특별시교육청","06350","서울특별시 강남구 일원로 90","(일원동/밀알학교)","02-3412-1133","http://www.miral.sc.kr","02-6958-3777","남여공학","","N","해당없음","","전기","주간","19970301","19970310","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010459","다니엘학교","Daniel School","서울특별시교육청","06796","서울특별시 서초구 헌릉로468길 21-16","(내곡동/다니엘학교)","02-445-9435","daniel.sen.sc.kr","02-445-9439","남여공학","","N","해당없음","","전기","주간","19741213","19750418","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7010457","서울정문학교","Seoul Jeongmun School","서울특별시교육청","08859","서울특별시 관악구 난향3길 31","(신림동)","02-869-7188","http://www.jeongmun.sc.kr","02-851-0030","남여공학","","N","해당없음","","전기","주간","19960115","19970301","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7010456","서울정진학교","Seoul Jungjin School","서울특별시교육청","08259","서울특별시 구로구 부일로9길 158","(궁동/ 서울정진학교)","02-2688-1303","http://jungjin.sen.sc.kr","02-2625-4076","남여공학","","N","해당없음","","전기","주간","19870709","19871125","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","국립","1342102","한국우진학교","Hanguk Woojin School","교육부","03934","서울특별시 마포구 월드컵북로38길 21","/ 한국우진학교 (중동)","02-6388-5800","http://woojin.sen.sc.kr","02-6388-5999","남여공학","","N","해당없음","","전기","주간","20000301","20000306","B10","서울특별시교육청","서울특별시","20230709"
"특수학교","국립","1342099","서울농학교","Seoul National school for the Deaf","교육부","03032","서울특별시 종로구 필운대로 103","(신교동)","02-737-0659","http://seoulnong.sen.sc.kr","02-723-5848","남여공학","","N","해당없음","","전기","주간","19130401","19130401","B10","서울특별시교육청","서울특별시","20230709"
"특수학교","국립","1342098","서울맹학교","Seoul National School for the Blind","교육부","03032","서울특별시 종로구 필운대로 97","(신교동)","02-731-6772","www.bl.sc.kr","02-722-0845","남여공학","","N","해당없음","","전기","주간","19130401","19130401","B10","서울특별시교육청","서울특별시","20230709"
