학교명,도로명상세주소
서울금양초등학교,"/ 서울금양초등학교 (효창동)"
서울교동초등학교,(경운동)
서울광희초등학교,(신당동/광희초등학교)
상명대학교사범대학부속초등학교,"(홍지동/ 상명초등학교)"
리라초등학교,(예장동)
동산초등학교,"/ 동산초등학교 (신당동)"
한국삼육중학교,"/ 한국삼육중학교 (공릉동)"
효문중학교,"(쌍문동/ 효문중 고등학교)"
한천중학교,"(공릉동/ 한천중학교)"
하계중학교,(하계동)
태랑중학교,"/ 태랑중학교 (공릉동)"
청원중학교,"/ 청원중학교 (상계동/청원초/중/고등학교)"
창일중학교,(창동/창일중학교)
창북중학교,(창동/창북중학교)
창동중학교,"/ 창동중학교 (방학동)"
중평중학교,(하계동/중평중학교)
중원중학교,(중계동/중원중학교)
중계중학교,(중계동)
정의여자중학교,"/ 정의여자중학교 (쌍문동)"
재현중학교,(중계동/재현중/고등학교)
을지중학교,(중계동)
월계중학교,(월계동)
온곡중학교,(상계동/온곡중학교)
염광중학교,"/ 노원구 월계동 820 (월계동)"
신창중학교,(월계동/신창중학교)
신상중학교,(상계동/신상중학교)
신방학중학교,"/ 신방학중학교 (방학동)"
신도봉중학교,(쌍문동)
수락중학교,"/ 수락중학교 (상계동)"
선덕중학교,"/ 선덕중학교 (쌍문동)"
상원중학교,(상계동)
상명중학교,"/ 상명중학교 (중계동)"
상계중학교,"(상계동/ 상계중학교)"
상계제일중학교,"/ 상계제일중학교 (중계동)"
상경중학교,"(상계동/ 상경중학교)"
불암중학교,"/ 불암중학교 (하계동)"
북서울중학교,(도봉동)
백운중학교,(쌍문동)
방학중학교,"/ 방학중학교 (방학동)"
도봉중학교,(도봉동/도봉중학교)
녹천중학교,(월계동)
노일중학교,"/ 노일중학교 (상계동)"
노원중학교,(상계동/노원중학교)
노곡중학교,(창동/노곡중학교)
광운중학교,(월계동/광운중학교)
공릉중학교,(공릉동/공릉중학교)
화랑초등학교,(공릉동/화랑초등학교)
한신초등학교,(쌍문동/한신초등학교)
태강삼육초등학교,"/ 태강삼육초등학교 (공릉동)"
청원초등학교,"/ (상계동/청원초/중/고등학교) (상계동)"
서울한천초등학교,"/ 서울한천초등학교 (월계동)"
서울태릉초등학교,"/ 서울태릉초등학교 (공릉동)"
서울태랑초등학교,"/ 서울태랑초등학교 (공릉동)"
서울초당초등학교,(방학동)
서울청계초등학교,"/ 서울청계초등학교 (중계동)"
서울창일초등학교,"/ 창일초등학교 (창동)"
서울창원초등학교,(창동/서울창원초등학교)
서울창림초등학교,(창동)
서울창동초등학교,(창동)
서울창도초등학교,"(방학동/ 서울창도초등학교)"
서울창경초등학교,(쌍문동/창경초등학교)
서울중현초등학교,"/ 서울중현초등학교 (하계동/중현초등학교)"
서울중평초등학교,"/ 서울중평초등학교 (하계동)"
서울중원초등학교,(중계동)
서울중계초등학교,"/ 서울중계초등학교 (중계동)"
서울자운초등학교,"/ 서울자운초등학교 (창동)"
서울을지초등학교,(중계동)
서울월천초등학교,(창동/서울월천초등학교)
서울월계초등학교,(월계동/월계초등학교)
서울원광초등학교,(중계동/원광초등학교)
서울용원초등학교,"/ 용원초등학교 (공릉동/ 서울용원초등학교)"
서울용동초등학교,(중계동/용동초등학교)
서울온곡초등학교,(상계동/온곡초등학교)
서울오봉초등학교,"/ 서울오봉초등학교 (도봉동)"
서울연촌초등학교,"/ 서울연촌초등학교 (하계동)"
서울연지초등학교,(월계동)
서울쌍문초등학교,"/ 서울쌍문초등학교 (쌍문동/쌍문초등학교)"
서울신화초등학교,"/ 신화초등학교 (창동)"
서울신학초등학교,(방학동)
서울신창초등학교,"/ 신창초등학교 (창동)"
서울신상계초등학교,"/ 신상계초등학교 (상계동)"
서울신방학초등학교,"/ 서울신방학초등학교 (방학동)"
서울신계초등학교,(월계동/신계초등학교)
서울숭미초등학교,(쌍문동/숭미초등학교)
서울수암초등학교,(중계동/수암초등학교)
서울수락초등학교,(상계동/서울수락초등학교)
서울선곡초등학교,"/ 서울선곡초등학교 (월계동)"
서울상천초등학교,"/ 서울상천초등학교 (상계동)"
서울상월초등학교,(상계동)
서울상원초등학교,(상계동)
서울상수초등학교,"/ 서울상수초등학교 (상계동)"
서울상곡초등학교,"/ 서울상곡초등학교 (상계동)"
서울상계초등학교,"/ 서울상계초등학교 (상계동)"
서울상경초등학교,(상계동/상경초등학교)
서울불암초등학교,"/ 서울불암초등학교 (중계동)"
서울백운초등학교,(쌍문동)
서울방학초등학교,"/ 방학초등학교 (방학동)"
서울동일초등학교,"/ 동일초등학교 (상계동)"
서울도봉초등학교,(도봉동)
서울덕암초등학교,"/ 서울덕암초등학교 (상계동)"
서울당현초등학교,"/ 서울당현초등학교 (상계동)"
서울누원초등학교,(도봉동)
서울녹천초등학교,"/ 서울녹천초등학교 (월계동)"
서울노일초등학교,(상계동/노일초등학교)
서울노원초등학교,"(상계동/ 노원초등학교)"
서울공연초등학교,(공릉동/서울공연초등학교)
서울공릉초등학교,(공릉동/서울공릉초등학교)
서울계상초등학교,(상계동)
서울가인초등학교,(창동/가인초등학교)
상명초등학교,"/ 상명초등학교 (중계동)"
동북초등학교,"/ 동북초등학교 (쌍문동)"
"지구촌학교 고등학교","(오류동, 금강프라자)"
"지구촌학교 중학교","(오류동, 금강프라자)"
서울항동초등학교,(항동)
서울하늘숲초등학교,"/ 서울하늘숲초등학교 (천왕동)"
신길중학교,"(신길동/ 신길중학교)"
항동중학교,"(항동/ 항동중학교)"
서울금나래초등학교,(시흥동)
서울천이초등학교,"/ 서울천이초등학교 (오류동)"
천왕중학교,"(천왕동/ 천왕중학교)"
"학력인정 서현초등학교","(신길동/ 서현주부학교)"
지구촌학교,(오류동)
서울천왕초등학교,(천왕동)
한울중학교,한울중학교
윤중중학교,"/ 윤중중학교 (여의도동)"
우신중학교,"/ 우신중학교 (궁동)"
오류중학교,(고척동)
오남중학교,(오류동)
영원중학교,(영등포동/영원중학교)
영서중학교,(구로동)
영림중학교,"/ 영림중학교 (구로동)"
영남중학교,"/ 영남중학교 (대림동)"
여의도중학교,"/ 여의도중학교 (여의도동)"
양화중학교,(문래동3가/양화중학교)
안천중학교,(독산동/안천중학교)
신도림중학교,"/ 신도림중학교 (신도림동)"
시흥중학교,", 시흥중학교 (시흥동)"
세일중학교,(독산동)
선유중학교,(양평동3가)
문일중학교,"/ 문일중학교 (시흥동)"
문성중학교,"/ 문성중학교 (독산동)"
문래중학교,(문래동6가/문래중학교)
동일중학교,(시흥동)
대영중학교,(신길동/대영중학교)
대림중학교,(대림동/대림중학교)
당산중학교,(당산동)
당산서중학교,(당산동5가/당산서중학교)
난곡중학교,(독산동)
구일중학교,(구로동)
구로중학교,(구로동)
고척중학교,"/ 고척중학교 (고척동)"
경인중학교,(개봉동)
개웅중학교,"/ 개웅중학교 (개봉동/개웅중학교)"
개봉중학교,(개봉동)
가산중학교,(독산동)
서울탑동초등학교,"(시흥동/ 탑동초등학교)"
서울정심초등학교,"/ 정심초등학교 (독산동)"
서울윤중초등학교,(여의도동)
서울우신초등학교,(신길동/우신초등학교)
서울온수초등학교,(온수동)
서울오정초등학교,"/ 서울오정초등학교 (오류동)"
서울오류초등학교,"/ 서울오류초등학교 (오류동)"
서울오류남초등학교,"(오류동/ 오류남초등학교)"
서울영중초등학교,"/ 서울영중초등학교 (영등포동7가)"
서울영일초등학교,"/ 서울영일초등학교 (가리봉동)"
서울영원초등학교,(도림동)
서울영신초등학교,(신길동)
서울영서초등학교,"/ 영서초등학교 (구로동)"
서울영문초등학교,"/ 서울영문초등학교 (문래동6가)"
서울영림초등학교,"/ 서울영림초등학교 (대림동)"
서울영등포초등학교,(문래동1가)
서울영동초등학교,"/ (당산동/ 영동초등학교) (당산동)"
서울영남초등학교,(독산동)
서울여의도초등학교,"/ 서울여의도초등학교 (여의도동)"
서울안천초등학교,"/ 서울안천초등학교 (독산동)"
서울신흥초등학교,"(시흥동/ 신흥초등학교)"
서울신영초등학교,(대림동/신영초등학교)
서울신미림초등학교,"(신도림동/ 신미림초등학교)"
서울신도림초등학교,"/ 서울신도림초등학교 (신도림동)"
서울신대림초등학교,(대림동)
서울신구로초등학교,(구로동/서울신구로초등학교)
서울시흥초등학교,"/ 서울시흥초등학교 (시흥동)"
서울세곡초등학교,(고척동/세곡초등학교)
서울선유초등학교,"(양평동3가/ 서울선유초등학교)"
서울백산초등학교,"(시흥동/ 백산초등학교)"
서울미래초등학교,"/ 서울미래초등학교 (구로동)"
서울문성초등학교,"/ 서울문성초등학교  (독산동)"
서울문백초등학교,"(시흥동/ 문백초등학교)"
서울문래초등학교,"(문래동3가/ 문래초등학교)"
서울문교초등학교,"/ 문교초등학교 (독산동)"
서울매봉초등학교,"/ 서울매봉초등학교 (개봉동)"
서울두산초등학교,"/ 서울두산초등학교 (독산동)"
서울동구로초등학교,"/ 서울동구로초등학교 (구로동)"
서울독산초등학교,(독산동/독산초등학교)
서울도신초등학교,"/ 서울도신초등학교 (대림동)"
서울도림초등학교,"/ 서울도림초등학교 (신길동)"
서울덕의초등학교,(고척동/덕의초등학교)
서울대영초등학교,(신길동/대영초등학교)
서울대방초등학교,(신길동)
서울대동초등학교,"/ 서울대동초등학교 (대림동)"
서울대길초등학교,"/ 서울대길초등학교 (신길동)"
서울당중초등학교,"/ 서울당중초등학교 (양평동3가)"
서울당서초등학교,"/ 서울당서초등학교 (당산동5가)"
서울당산초등학교,"/ 서울당산초등학교 (양평동4가)"
서울금천초등학교,(시흥동)
서울금산초등학교,"(시흥동, 서울금산초등학교)"
서울금동초등학교,"/ 서울금동초등학교 (시흥동)"
서울구일초등학교,(구로동/구일초등학교)
서울구로초등학교,"/ 구로동443 (구로동)"
서울구로남초등학교,(구로동/구로남초등학교)
서울고척초등학교,(고척동)
서울고원초등학교,"(고척동/ 서울고원초등학교)"
서울고산초등학교,"(고척동/ 고산초등학교)"
서울개웅초등학교,(개봉동/개웅초등학교)
서울개봉초등학교,(개봉동)
서울개명초등학교,(개봉동/개명초등학교)
서울가산초등학교,"/ 서울가산초등학교 (독산동)"
동광초등학교,"/ 동광초등학교 (시흥동)"
서울어울초등학교,"/ 서울어울초등학교 (녹번동)"
서울가재울초등학교,(남가좌동)
아현중학교부설방송통신중학교,"/ 아현중학교 내 아현방송통신중학교 (아현동)"
가재울중학교,"(북가좌동/ 가재울중학교)"
서울은빛초등학교,(진관동)
서울하늘초등학교,"/ 서울하늘초등학교 (상암동)"
서울수리초등학교,(불광동)
홍익대학교사범대학부속여자중학교,(성산동)
홍은중학교,(홍은동)
한성중학교,(북아현동/한성중학교)
충암중학교,(응암동)
창천중학교,(노고산동)
진관중학교,(진관동)
증산중학교,"/ 증산중학교 (증산동)"
중앙여자중학교,"(북아현동/ 중앙여자중학교)"
중암중학교,(중동/중암중학교)
정원여자중학교,"/ 정원여자중학교 (홍은동)"
인창중학교,(충정로2가/인창중학교)
인왕중학교,"/ 69 (홍제동)"
이화여자대학교사범대학부속이화·금란중학교,(대신동)
은평중학교,(구산동)
예일여자중학교,(구산동)
영락중학교,"/ 영락중학교 (응암동)"
연희중학교,(남가좌동)
연천중학교,(불광동)
연신중학교,"(연신중학교/ 불광동)"
연서중학교,(증산동/연서중학교)
연북중학교,(연희동/연북중학교)
아현중학교,(아현동/아현중학교)
신연중학교,(연희동)
신수중학교,"/ 신수중학교 (신수동)"
신도중학교,(진관동)
숭실중학교,(신사동)
숭문중학교,"/ 숭문중고등학교 (대흥동)"
성서중학교,(성산동)
성산중학교,(합정동)
성사중학교,"/ 성사중학교 (성산동)"
선정중학교,"/ 선정중학교 (갈현동)"
선일여자중학교,"/ 선일여자중학교 (갈현동)"
서울여자중학교,"/ 서울여자중학교 (염리동)"
서연중학교,(연희동)
상암중학교,(상암동)
상신중학교,(신사동)
불광중학교,"/ 불광중학교 (불광동)"
명지중학교,(홍은동)
동명여자중학교,(천연동)
동도중학교,동도중학교
덕산중학교,(신사동)
대성중학교,"/ 대성중학교 (갈현동)"
구산중학교,(구산동/구산중학교)
광성중학교,(신수동/광성중고등학교)
경성중학교,"/ 경성중학교 (연남동/경성중고등학교)"
홍익대학교사범대학부속초등학교,(성산동)
충암초등학교,(응암동)
추계초등학교,(북아현동/추계초등학교)
이화여자대학교사범대학부속초등학교,(대신동/이화여대부속초등학교)
예일초등학교,"/ 예일초등학교 (구산동)"
선일초등학교,"/ 선일초등학교 (갈현동)"
서울홍제초등학교,"/ 서울홍제초등학교 (홍은동)"
서울홍은초등학교,"/ 홍제동/서울홍은초등학교 (홍제동)"
서울홍연초등학교,"/ 서울홍연초등학교 (홍은동)"
서울한서초등학교,"/ 서울한서초 (염리동)"
서울창천초등학교,"/ 서울창천초등학교 (노고산동)"
서울창서초등학교,"(창천동/ 서울창서초등학교)"
서울진관초등학교,(진관동/진관초등학교)
서울증산초등학교,(증산동)
서울중동초등학교,(성산동)
서울인왕초등학교,(홍제동/서울인왕초등학교)
서울응암초등학교,"/ 서울응암초등학교 (응암동)"
서울은평초등학교,(녹번동)
서울은진초등학교,"/ 은진초등학교 (진관동)"
서울은명초등학교,"/ 서울은명초등학교 (응암동)"
서울용강초등학교,(대흥동)
서울염리초등학교,"/ 서울염리초등학교 (염리동)"
서울연희초등학교,"(연희동/ 서울연희초등학교)"
서울연천초등학교,"/ 연천초등학교 (불광동)"
서울연은초등학교,"/ 서울연은초등학교 (응암동)"
서울연신초등학교,(불광동)
서울연광초등학교,"/ 서울연광초등학교 (불광동)"
서울연가초등학교,"/ 연가초등학교 (남가좌동)"
서울역촌초등학교,"/ 서울역촌초등학교 (역촌동/서울역촌초등학교)"
서울안산초등학교,(홍제동)
서울아현초등학교,(아현동)
서울신석초등학교,"/ 서울신석초등학교 (신수동)"
서울신사초등학교,"/ 서울신사초등학교 (신사동)"
서울신북초등학교,"/ 서울신북초등학교 (중동)"
서울신도초등학교,"/ 서울신도초등학교 (진관동)"
서울수색초등학교,(수색동)
서울소의초등학교,(아현동/소의초등학교)
서울성원초등학교,(성산동)
서울성서초등학교,(성산동)
서울성산초등학교,"/ 서울성산초등학교 (합정동)"
서울서신초등학교,(신사동)
서울서교초등학교,(서교동)
서울서강초등학교,(상수동/서강초등학교)
서울상지초등학교,"/ 서울상지초등학교 (상암동)"
서울상암초등학교,(상암동/상암초등학교)
서울상신초등학교,(신사동)
서울불광초등학교,"/ 서울불광초등학교 (불광동)"
서울북한산초등학교,"/ 서울북한산초등학교 (진관동)"
서울북성초등학교,"(북아현동/ 북성초등학교)"
서울북가좌초등학교,"(북가좌동/ 서울북가좌초등학교)"
서울미동초등학교,"(미근동/ 서울미동초등학교)"
서울망원초등학교,"(망원동/ 망원초등학교)"
서울마포초등학교,"/ 서울 마포초등학교 (도화동)"
서울동교초등학교,"/ 동교초등학교 (망원동)"
서울대조초등학교,(대조동)
서울대은초등학교,"/ 서울대은초등학교 (대조동)"
서울대신초등학교,"(대현동/ 서울대신초등학교)"
서울녹번초등학교,"(녹번동/ 서울녹번초등학교)"
서울금화초등학교,(천연동/서울금화초등학교)
서울구현초등학교,(구산동/구현초등학교)
서울구산초등학교,"(구산동/ 구산초등학교)"
서울공덕초등학교,"(공덕동/ 공덕초등학교)"
서울고은초등학교,"(홍제동/ 서울고은초등학교)"
서울갈현초등학교,"/ 갈현초등학교 (갈현동)"
명지초등학교,(홍은동)
경기초등학교,(충정로2가/경기초등학교)
서울양원숲초등학교,"(망우동/ 서울양원숲초등학교)"
서울새솔초등학교,(신내동/서울새솔초등학교)
서울삼육초등학교,"/ 서울삼육초등학교 (회기동)"
휘경중학교,(휘경동/휘경중학교)
휘경여자중학교,"/ 휘경여자중학교 (휘경동)"
혜원여자중학교,(망우동/혜원여자중고등학교)
태릉중학교,(묵동)
청량중학교,(청량리동)
중화중학교,(면목동/중화중학교)
중랑중학교,"/ 중랑중학교 (중화동)"
정화여자중학교,"/ 정화여자중학교 (제기동)"
전일중학교,"/ 전일중학교 (전농동)"
전동중학교,(휘경동/전동중학교)
전농중학교,(전농동/전농중학교)
장평중학교,"/ 장평중학교 (장안동)"
장안중학교,"/ 장안중학교 (중화동)"
원묵중학교,"/ 원묵중학교 (묵동)"
용마중학교,"/ 용마중학교 (면목동)"
영란여자중학교,(망우동)
신현중학교,"/ 신현중학교 (상봉동)"
숭인중학교,"(답십리동/ 숭인중학교)"
송곡여자중학교,(망우본동
성일중학교,(제기동)
상봉중학교,(상봉동)
봉화중학교,(망우동/봉화중학교)
면목중학교,"/ 면목중학교 (면목동)"
동원중학교,"(망우동/ 동원중학교)"
동대문중학교,"/ 동대문중학교 (전농동)"
동국대학교사범대학부속중학교,(장안동)
대광중학교,(신설동)
경희중학교,"/ 경희중학교 (회기동)"
경희여자중학교,(회기동)
은석초등학교,"(장안동/ 은석초등학교)"
서울휘봉초등학교,(휘경동/서울휘봉초등학교)
서울휘경초등학교,"(휘경동/ 서울휘경초등학교)"
서울홍파초등학교,(제기동)
서울홍릉초등학교,(청량리동)
서울청량초등학교,(회기동/서울청량초등학교)
서울중흥초등학교,"/ 서울중흥초등학교 (중화동)"
서울중화초등학교,"/ 서울중화초등학교 (신내동)"
서울중목초등학교,"/ 서울중목초등학교 (면목동)"
서울중랑초등학교,(면목동/중랑초등학교)
서울중곡초등학교,(면목동/중곡초등학교)
서울종암초등학교,(제기동)
서울전동초등학교,"/ 서울전동초등학교 (전농동)"
서울전농초등학교,"/ 서울전농초등학교 (전농동)"
서울전곡초등학교,(전농동)
서울장평초등학교,", 69길 27 (전농동)"
서울이문초등학교,"(이문동/ 서울이문초등학교)"
서울원묵초등학교,"/ 서울원묵초등학교 (묵동)"
서울용두초등학교,(용두동)
서울안평초등학교,"/ 서울안평초등학교 (장안동)"
서울신현초등학교,(신내동)
서울신묵초등학교,(묵동/신묵초등학교)
서울신답초등학교,(답십리동/서울신답초등학교)
서울신내초등학교,(신내동/신내초등학교)
서울상봉초등학교,"/ 서울상봉초등학교 (상봉동)"
서울봉화초등학교,(신내동/봉화초등학교)
서울배봉초등학교,"/ 배봉초등학교 (전농동)"
서울묵현초등학교,"/ 묵현초등학교"
서울묵동초등학교,"/ 서울묵동초등학교 (중화동)"
서울면중초등학교,", 서울면중초등학교 (면목동)"
서울면일초등학교,"/ 면일초등학교 (망우동)"
서울면북초등학교,"/ 서울면북초등학교 (망우동)"
서울면목초등학교,(면목동)
서울면동초등학교,"(면목동/ 면동초등학교)"
서울면남초등학교,(면목동/면남초등학교)
서울망우초등학교,"/ 서울망우초등학교 (망우동)"
서울동원초등학교,"/ 서울동원초등학교 (망우동)"
서울동답초등학교,(답십리동/서울동답초등학교)
서울답십리초등학교,"/ 서울답십리초등학교 (답십리동)"
서울군자초등학교,"/ 서울군자초등학교 (장안동)"
금성초등학교,"/ 금성초등학교 (신내동)"
경희초등학교,"/ 경희초등학교 (회기동/ 경희대학교)"
미림마이스터고등학교,미림마이스터고등학교
염광메디텍고등학교,", 염광메디텍고등학교 (월계동)"
서울웹툰애니메이션고등학교,(방배동)
솔샘고등학교,"/ 솔샘고등학교"
서울동구고등학교,"/ 동구마케팅고등학교 (성북동)"
서울정화고등학교,(제기동)정화여자상업고등학교
선일빅데이터고등학교,"/ 선일빅데이터고등학교 (갈현동)"
대경생활과학고등학교,(신당동)
서울매그넷고등학교,"(시흥동/ 동일여자상업고등학교)"
광운인공지능고등학교,(월계동/광운중학교/전자공업고등학교)
서울인공지능고등학교,(거여동)
용산철도고등학교,"(한강로3가/ 용산철도고등학교)"
서울동산고등학교,(공릉동)
인덕과학기술고등학교,"/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교)"
서울신정고등학교,"(화곡동/ 서울신정고등학교)"
서일문화예술고등학교,(창신동)
동명생활경영고등학교,(대조동)
단국대학교부속소프트웨어고등학교,"(대치동 1013)"
광신방송예술고등학교,"(신림동/ 광신방송예술고등학교)"
고명외식고등학교,(돈암동)
서울의료보건고등학교,(만리동1가)
서울서진학교,(가양동)
서울도솔학교,"(도봉동/ 서울도솔학교)"
서울나래학교,"(염곡동/ 서울나래학교)"
영락의료과학고등학교,"(봉천동/ 서울영락고등학교/ 영락의료과학고등학교)"
덜위치칼리지서울영국학교,(반포동)
서울새롬학교,"/ 서울새롬학교 (봉천동/ 삼육외래센터)"
서울효정학교,(미아동)
풍문고등학교,(자곡동)
서울다솜관광고등학교,(숭인동)
금호고등학교,(금호동1가)
도선고등학교,(하왕십리동)
금천문화예술정보학교,"/ 금천문화예술정보학교 (독산동)"
신진과학기술고등학교,(응암동/학교법인신진학원)
선정국제관광고등학교,"/ 선정국제관광고등학교 (갈현동)"
계성고등학교,"/ 계성고등학교 (길음동)"
서울항공비즈니스고등학교,(방화동)
오디세이학교,(숭인동)
서울다원학교,"/ 서울다원학교 (성북동)"
누리학교,"/ 누리학교 (대방동)"
서울실용음악고등학교,(신당동/서울실용음악고등학교)
서울컨벤션고등학교,"/ 서울컨벤션고등학교 (고덕동)"
서초문화예술정보학교,(서초동)
은평문화예술정보학교,"/ 은평문화예술정보학교 (응암동/ 은평문화예술정보학교)"
서울드와이트외국인학교,(상암동)
대일관광고등학교,"/ 대일관광고등학교 (신정동/ 대일관광고등학교)"
예림디자인고등학교,(궁동/예림디자인고등학교)
서울도시과학기술고등학교,(하월곡동/서울도시과학기술고등학교)
성덕고등학교,(천호동)
가재울고등학교,(북가좌동)
"학력인정 청량정보고등학교(2년제)","(전농동/ 청량정보고등학교)"
"학력인정 한림연예예술고등학교","(장지동/ 한림연예예술고교)"
"학력인정 한림실업고등학교(2년제)","(장지동/ 한림연예예술고교)"
"학력인정 한림중학교(2년제)",(장지동)
"학력인정 한림초등학교(4년제)","(장지동/ 한석교통(주))"
"학력인정 청암중학교(2년제)","(중계동/ 청암중고예술학교)"
"학력인정 청암고등학교(2년제)",(중계동/청암중고등학교)
"학력인정 진형중학교(2년제)","(숭인동/ 진형빌딩)"
"학력인정 진형고등학교(2년제)","(숭인동/ 진형빌딩)"
"학력인정 일성여자중학교(2년제)","(염리동/ 일성여자중고등학교)"
"학력인정 일성여자고등학교(2년제)","(염리동/ 일성여자중고등학교)"
"학력인정 신동신중학교(2년제)","(사당동/ 신동신중 정보산업 고등학교)"
"학력인정 신동신정보산업고등학교(2년제)","(사당동/ 신동신중 정보산업 고등학교)"
"학력인정 청량정보고등학교","(전농동/ 청량정보고등학교)"
"학력인정 정암미용고등학교(2년제)","(청량리동/ 미주상가)"
"학력인정 서울자동차고등학교","(효창동/ 서울자동차고등학교)"
"학력인정 신동신중.정보산업고등학교","(사당동/ 신동신중 정보산업 고등학교)"
휘봉고등학교,(휘경동)
잠일고등학교,(잠실동)
구암고등학교,(봉천동/구암고등학교)
서울대학교사범대학부설고등학교,(종암동)
꿈타래학교,(신림동/서울산업정보학교)
화곡보건경영고등학교,"(내발산동/ 화곡보건경영고등학교)"
영신간호비즈니스고등학교,"/ 영신간호비즈니스고등학교 (중계동)"
홍익디자인고등학교,(연남동)
송곡관광고등학교,(망우동)
세그루패션디자인고등학교,"/ 세그루패션디자인고등학교 (쌍문동)"
삼각산고등학교,(미아동/삼각산고등학교)
선사고등학교,"/ 선사고등학교 (암사동)"
신도고등학교,(진관동)
여명학교,"/ 여명학교 (남산동2가)"
동양고등학교,(가양동/동양고등학교)
서울금융고등학교,"/ 서울금융고등학교 (신월동)"
은평메디텍고등학교,(진관동/은평메디텍고등학교)
서울아이티고등학교,(중계동/서울아이티고등학교)
문현고등학교,(장지동)
강일고등학교,(강일동)
하나고등학교,"/ 하나고등학교 (진관동)"
압구정고등학교,"/ 압구정고등학교 (압구정동)"
상일미디어고등학교,"/ 상일미디어고등학교 (상일동)"
한세사이버보안고등학교,(아현동)
리라아트고등학교,"/ 24 (예장동/리라아트고등학교)"
서울공연예술고등학교,"/ 서울공연예술고등학교 (궁동)"
성동글로벌경영고등학교,"(신당동/ 성동글로벌경영고등학교)"
서울문화고등학교,"/ 서울문화고등학교 (방학동)"
성수고등학교,"/ 성수고등학교 (성수동1가)"
수명고등학교,"/ 수명고등학교 (내발산동)"
신도림고등학교,(신도림동/신도림고등학교)
진관고등학교,(진관동)
은평고등학교,"(구산동/ 은평고등학교)"
연세대학교재활학교,"/ 연세대학교재활학교 (신촌동)"
수도사랑의학교,"/ 수도사랑의학교 (사직동)"
코리아외국인학교,(양재동)
아시아퍼시픽국제외국인학교,(월계동)
하비에르국제학교,(구기동)
재한몽골학교,(광장동)
한국한성화교소학교,(명동2가)
한국켄트외국인학교,(구의동)
한국외국인학교,(개포동)
한국영등포화교소학교,(문래동1가)
지구촌기독외국인학교,(한남동)
서울프랑스학교,(반포동)
서울일본인학교,"/ 일본인학교 (상암동)"
서울독일학교,(한남동)
서울용산국제학교,(한남동)
한국한성화교중고등학교,(연희동)
성암국제무역고등학교,"(미아동/ 성암국제무역고등학교)"
서울방송고등학교,(옥수동)
경복비즈니스고등학교,(등촌동)
대동세무고등학교,(계동)
한강미디어고등학교,(양평동4가/한강미디어고등학교)
구현고등학교,(구로동)
해성여자고등학교,(전농동/해성여자고등학교)
서울국제고등학교,"/ 서울국제고 (명륜1가)"
세종과학고등학교,(궁동)
청암예술학교,(중계동/청암고등기술학교)
보인고등학교,"/ 보인고등학교 (오금동)"
해성국제컨벤션고등학교,"/ 해성국제컨벤션고등학교 (전농동)"
예일디자인고등학교,"/ 예일디자인고등학교 (구산동)"
덕수고등학교,(행당동)
상암고등학교,(상암동)
원묵고등학교,"/ 원묵고등학교 (묵동)"
서울외국인학교,(연희동)
고려대학교사범대학부속고등학교,"/ 고려대학교사범대학부속고등학교 (정릉동)"
서울영상고등학교,"/ 서울영상고등학교 (신정동)"
한양대학교사범대학부속고등학교,(사근동)
효문고등학교,"(쌍문동/효문중 고등학교)"
신서고등학교,"/ 신서고등학교 (신정동)"
세현고등학교,"/ 세현고등학교 (가양동)"
이화여자대학교병설미디어고등학교,"/ 02061 (망우동)"
동국대학교사범대학부속여자고등학교,"/ 동국대부속여고 (구의동)"
목동고등학교,"/ 목동고등학교 (신정동)"
서울디자인고등학교,"/ 서울디자인고등학교 (염리동)"
대진디자인고등학교,(수서동/대진디자인고등학교)
서울관광고등학교,(봉천동/서울관광고등학교)
서울로봇고등학교,"/ 서울로봇고등학교 (일원동)"
성동공업고등학교,(흥인동)
불암고등학교,(중계동)
월계고등학교,(월계동/월계고등학교)
선유고등학교,"/ 선유고등학교 (양평동4가)"
한국제과학교,(신길동)
서서울생활과학고등학교,"/ 서서울생활과학고등학교 (궁동)"
영동일고등학교,"/ 영동일고등학교 (잠실동)"
자운고등학교,(창동)
신현고등학교,"/ 신현고등학교 (상봉동)"
문정고등학교,(문정동/문정고등학교)
등촌고등학교,"/ 등촌고등학교 (등촌동)"
경일고등학교,"/ 경일고등학교 (성수동1가)"
서울문영여자고등학교,"/ 서울문영여자고등학교 (봉천동)"
염광고등학교,(월계동)
상명고등학교,(중계동)
미래산업과학고등학교,(중계동)
방산고등학교,(방이동)
누원고등학교,"/ 누원고등학교 (도봉동)"
은평대영학교,"/ 은평대영학교 (구산동/ 사회복지법인 엔젤스헤이븐)"
서울동천학교,"/ 서울동천학교 (하계동)"
한빛맹학교,"/ 한빛맹학교 (수유동)"
교남학교,"/ 교남학교 (화곡동)"
서울디지텍고등학교,(이태원동)
종로산업정보학교,"(숭인동, 종로산업정보학교)"
아현산업정보학교,"(아현동/ 아현산업정보학교/ 아현직업학교)"
서울산업정보학교,"/ 서울산업정보학교 (신림동)"
노원고등학교,(상계동)
경인고등학교,"/ 경인고등학교 (고척동)"
창동고등학교,"(창동/ 창동고등학교)"
서울경운학교,(경운동)
독산고등학교,"/ 독산고등학교 (독산동)"
수락고등학교,(상계동/수락고등학교)
청원여자고등학교,"/ 청원여자고등학교 (상계동/청원초/중/고등학교)"
